part,local_id,local_x_px,local_y_px,global_x_px,global_y_px,radius_px,score
5,27,536.90,315.83,1901.90,1339.83,20.21,1.7188
5,28,668.50,279.00,2033.50,1303.00,34.00,1.7173
5,29,619.00,705.50,1984.00,1729.50,31.67,1.7105
5,30,376.00,774.50,1741.00,1798.50,25.24,1.7000
5,31,1008.50,646.00,2373.50,1670.00,23.88,1.6980
5,32,950.50,836.00,2315.50,1860.00,38.71,1.6971
5,33,913.50,576.00,2278.50,1600.00,25.40,1.6965
5,34,944.50,181.00,2309.50,1205.00,24.86,1.6918
5,35,1113.50,823.50,2478.50,1847.50,25.54,1.6881
5,36,191.50,185.50,1556.50,1209.50,31.60,1.6780
5,37,1153.50,874.50,2518.50,1898.50,57.61,1.6752
5,38,168.50,822.50,1533.50,1846.50,30.60,1.6721
5,39,524.50,666.00,1889.50,1690.00,37.59,1.6695
5,40,202.50,274.00,1567.50,1298.00,26.39,1.6576
5,41,1075.50,203.00,2440.50,1227.00,25.93,1.6426
5,42,1208.50,120.50,2573.50,1144.50,22.64,1.6332
5,43,1011.00,897.50,2376.00,1921.50,34.03,1.6161
5,44,841.00,706.50,2206.00,1730.50,34.62,1.6149
5,45,1065.00,818.50,2430.00,1842.50,24.05,1.6049
5,46,1232.50,811.00,2597.50,1835.00,35.63,1.5973
5,47,228.50,857.00,1593.50,1881.00,26.20,1.5802
5,48,180.50,895.00,1545.50,1919.00,38.62,1.5540
6,1,1064.91,346.76,3794.91,1370.76,24.90,1.8909
6,2,958.72,273.15,3688.72,1297.15,21.36,1.8718
6,3,747.95,491.66,3477.95,1515.66,32.73,1.8604
6,4,775.00,671.00,3505.00,1695.00,25.18,1.8543
6,5,54.00,582.50,2784.00,1606.50,24.62,1.8540
6,6,754.50,95.50,3484.50,1119.50,20.55,1.8533
6,7,298.15,534.04,3028.15,1558.04,26.32,1.8522
6,8,662.92,536.50,3392.92,1560.50,26.31,1.8506
6,9,456.50,554.50,3186.50,1578.50,20.99,1.8473
6,10,1019.50,615.50,3749.50,1639.50,21.78,1.8471
6,11,895.60,579.43,3625.60,1603.43,23.05,1.8458
6,12,1157.00,556.50,3887.00,1580.50,27.55,1.8392
6,13,665.50,412.50,3395.50,1436.50,20.70,1.8340
6,14,662.50,688.50,3392.50,1712.50,31.82,1.8320
6,15,361.99,476.60,3091.99,1500.60,20.06,1.8197
6,16,935.50,540.50,3665.50,1564.50,20.55,1.8108
6,17,327.39,414.74,3057.39,1438.74,25.96,1.8089
6,18,182.50,720.50,2912.50,1744.50,30.70,1.8069
6,19,47.46,713.50,2777.46,1737.50,36.63,1.8033
6,20,224.50,600.00,2954.50,1624.00,29.12,1.8023
6,21,280.00,473.00,3010.00,1497.00,27.20,1.8021
6,22,994.50,544.50,3724.50,1568.50,20.99,1.8014
6,23,91.10,374.44,2821.10,1398.44,24.59,1.7855
6,24,384.00,555.00,3114.00,1579.00,21.38,1.7833
6,25,741.58,617.98,3471.58,1641.98,20.80,1.7816
6,26,602.40,488.20,3332.40,1512.20,21.51,1.7779
6,27,1030.50,195.00,3760.50,1219.00,22.61,1.7762
6,28,1254.50,691.00,3984.50,1715.00,21.71,1.7722
6,29,678.50,784.00,3408.50,1808.00,21.71,1.7717
6,30,796.94,787.00,3526.94,1811.00,21.15,1.7596
6,31,102.00,607.50,2832.00,1631.50,23.26,1.7581
6,32,1085.00,288.00,3815.00,1312.00,25.00,1.7520
6,33,849.50,741.00,3579.50,1765.00,23.84,1.7516
6,34,1120.89,209.56,3850.89,1233.56,78.18,1.7402
6,35,1231.65,114.94,3961.65,1138.94,22.66,1.7352
6,36,53.50,770.00,2783.50,1794.00,44.68,1.7294
6,37,619.00,834.50,3349.00,1858.50,25.12,1.7263
6,38,340.08,260.35,3070.08,1284.35,33.88,1.7245
6,39,1230.50,743.00,3960.50,1767.00,30.57,1.7230
6,40,354.50,734.50,3084.50,1758.50,43.64,1.7124
6,41,1196.82,474.36,3926.82,1498.36,25.10,1.7102
6,42,489.03,226.81,3219.03,1250.81,23.01,1.7099
6,43,569.50,541.00,3299.50,1565.00,33.05,1.7015
6,44,1130.50,713.50,3860.50,1737.50,26.62,1.6818
6,45,487.00,173.50,3217.00,1197.50,20.16,1.6800
6,46,658.50,627.50,3388.50,1651.50,21.97,1.6766
6,47,719.00,862.00,3449.00,1886.00,30.15,1.6636
6,48,487.00,681.00,3217.00,1705.00,46.69,1.6625
6,49,715.00,751.50,3445.00,1775.50,23.26,1.6612
6,50,1001.27,658.68,3731.27,1682.68,38.31,1.6560
6,51,1012.50,118.50,3742.50,1142.50,44.66,1.6358
6,52,866.00,298.50,3596.00,1322.50,20.72,1.6308
6,53,780.50,900.00,3510.50,1924.00,46.67,1.6170
6,54,216.50,802.00,2946.50,1826.00,111.80,1.6039
6,55,587.50,809.00,3317.50,1833.00,28.66,1.6023
6,56,173.00,878.50,2903.00,1902.50,34.18,1.5792
6,57,541.50,885.00,3271.50,1909.00,53.58,1.5344
